--- Projects ---
id,group_number,project_name,member_count,frontend,backend,deliverables,status,notes,submission_datetime
1,1,AI Assistant,3,React,Flask,"PPT, Word File",In Progress,Focus on natural language processing.,2024-12-03 14:00:00
2,2,E-Commerce Website,3,Angular,Node.js,"PPT, Database",Completed,Add payment gateway details.,2024-12-01 16:30:00
3,3,Healthcare System,3,Vue.js,Django,"Word File, Database",Pending,Include analytics module.,2024-12-05 12:00:00
4,4,Weather App,2,HTML/CSS,PHP,"PPT, Word File, Database",In Progress,Real-time weather updates.,2024-12-04 18:00:00
5,5,Chat Application,3,Flutter,Firebase,PPT,Completed,Test push notifications.,2024-12-02 10:30:00
6,6,Jarvis,3,"html,css,js",Python,"PPT, Word File, Database",Completed,done,2024-12-07 13:25:00

--- Members ---
id,name,roll_no,contact,group_number
1,Keyur,80,9408961050,1
2,Yash,81,9408961051,1
3,Om,82,9408961052,1
4,Pooja,83,9408961053,2
5,Ravi,84,9408961054,2
6,Aditi,85,9408961055,2
7,Arjun,87,9408961057,3
8,Meera,88,9408961058,3
9,Krishna,89,9408961059,3
10,Devraj,92,9408961062,4
11,Nithya,93,9408961063,4
12,Darshana,94,9408961064,5
13,Linda,95,9408961065,5
14,Pepper,96,9408961066,5
18,keyur,80,9408961050,6
19,yash,81,9408961050,6
20,om,83,9408961050,6
